"年度","縣市","機動車輛登記數","小客車登記數","小貨車登記數","機車登記數","汽車登記數","每千人持有車輛數(年底)-小客車","每千人持有車輛數(年底)-機車","車輛成長率-小客車","車輛成長率-機車","每汽車享有道路面積","領有汽車駕照人數","領有機車駕照人數","觀光旅館家數","觀光旅館房間數","觀光旅館平均房價","觀光旅館住用率"
2000, 嘉義縣,439437.000000,106788.000000,24788.000000,302639.000000,136798.000000,189.911169,538.211469,2.379537,2.575931,0.114088,-,-,-,-,-,-
2000, 屏東縣,733890.000000,158184.000000,33437.000000,534892.000000,198998.000000,174.290153,589.354224,1.830823,3.306475,0.122675,-,-,-,-,-,-
2000, 臺東縣,193318.000000,39194.000000,10574.000000,141183.000000,52135.000000,159.772045,575.524230,3.006570,2.140728,0.182008,-,-,-,-,-,-
2000, 花蓮縣,290415.000000,72638.000000,14412.000000,199497.000000,90918.000000,205.406781,564.140486,5.696783,2.483792,0.136772,-,-,-,-,-,-
2000, 澎湖縣,65913.000000,11468.000000,2339.000000,51289.000000,14624.000000,128.139805,573.087065,7.047512,1.659003,0.145309,-,-,-,-,-,-
2000, 基隆市,224886.000000,63957.000000,5687.000000,151292.000000,73594.000000,164.657270,389.501191,4.899131,3.811661,0.038644,-,-,-,-,-,-
2000, 新竹市,312136.000000,91042.000000,9978.000000,206817.000000,105319.000000,247.101963,561.333084,6.611551,4.460416,0.041616,-,-,-,-,-,-
2000, 嘉義市,232986.000000,56508.000000,7640.000000,164808.000000,68178.000000,212.290041,619.152989,1.552728,3.070063,0.148156,-,-,-,-,-,-
2000, 金門縣,37227.000000,9471.000000,1705.000000,25199.000000,12028.000000,175.936246,468.104473,7.259343,4.529805,-,-,-,-,-,-,-
2000, 連江縣,3572.000000,851.000000,177.000000,2352.000000,1220.000000,126.392396,349.324224,3.907204,6.329114,-,-,-,-,-,-,-
2001, 總計,17465037.000000,4825581.000000,675533.000000,11733202.000000,5731835.000000,215.374187,523.673490,2.318892,2.714045,-,-,-,-,-,-,-
2001, 臺灣地區,17422491.000000,4814956.000000,673842.000000,11704003.000000,5718488.000000,215.533032,523.909099,2.317540,2.706145,0.068124,-,-,-,-,-,-
2001, 新北市,2567854.000000,686486.000000,79320.000000,1776222.000000,791632.000000,190.149053,491.993911,2.203258,3.824180,0.034070,-,-,-,-,-,-
2001, 臺北市,1637348.000000,595614.000000,50508.000000,970169.000000,667179.000000,226.142284,368.353050,-0.021486,1.163279,0.030630,-,-,-,-,-,-
2001, 桃園市,1305520.000000,428371.000000,51277.000000,804457.000000,501063.000000,242.983545,456.309633,3.768274,2.920831,0.042015,-,-,-,-,-,-
2001, 臺中市,2018992.000000,617358.000000,88074.000000,1282515.000000,736477.000000,248.337066,515.901653,2.331711,2.700121,0.068146,-,-,-,-,-,-
2001, 臺南市,1567019.000000,399516.000000,56979.000000,1092329.000000,474690.000000,216.159888,591.009407,2.142738,2.872305,0.098165,-,-,-,-,-,-
2001, 高雄市,2461376.000000,579237.000000,70426.000000,1778238.000000,683138.000000,212.064809,651.031791,2.993044,3.654226,0.080581,-,-,-,-,-,-
2001, 宜蘭縣,362009.000000,91579.000000,15046.000000,250316.000000,111693.000000,196.606261,537.390591,1.779324,1.275676,0.087561,-,-,-,-,-,-
2001, 新竹縣,340234.000000,115141.000000,14841.000000,205128.000000,135106.000000,257.990141,459.619090,3.242322,2.359792,0.071181,-,-,-,-,-,-
2001, 苗栗縣,455365.000000,132666.000000,20644.000000,294836.000000,160529.000000,236.633134,525.891838,1.695617,1.883298,0.078733,-,-,-,-,-,-
2001, 彰化縣,1106083.000000,282689.000000,55652.000000,752953.000000,353130.000000,215.137208,573.026209,2.877554,2.116784,0.049843,-,-,-,-,-,-
2001, 南投縣,445988.000000,123582.000000,26018.000000,290479.000000,155509.000000,228.087660,536.119140,2.772603,1.492626,0.117035,-,-,-,-,-,-
2001, 雲林縣,599333.000000,145642.000000,32328.000000,412976.000000,186357.000000,195.870687,555.402239,2.525078,1.946225,0.096653,-,-,-,-,-,-
2001, 嘉義縣,448824.000000,109980.000000,26020.000000,307529.000000,141295.000000,195.219795,545.878782,2.989100,1.615786,0.115192,-,-,-,-,-,-
2001, 屏東縣,756314.000000,162705.000000,35166.000000,550870.000000,205444.000000,178.921752,605.775025,2.858064,2.987145,0.122598,-,-,-,-,-,-
2001, 臺東縣,197855.000000,40346.000000,10889.000000,144292.000000,53563.000000,164.938760,589.881118,2.939225,2.202106,0.177511,-,-,-,-,-,-
2001, 花蓮縣,295624.000000,74150.000000,14559.000000,203069.000000,92555.000000,209.973976,575.039857,2.081555,1.790503,0.134439,-,-,-,-,-,-
2001, 澎湖縣,68980.000000,12700.000000,2535.000000,52885.000000,16095.000000,137.642520,573.167295,10.742937,3.111778,0.132153,-,-,-,-,-,-
