"年度","縣市","身心障礙人數","身心障礙人口占全縣(市)總人口比率","身心障礙福利機構核定安置服務人數","身心障礙福利機構實際安置服務人數","身心障礙福利機構核定安置住宿及日托人數占身心障礙人數比率","身心障礙福利機構實際安置住宿及日托人數占身心障礙人數比率","公立機構定額已進用身心障礙者人數","公立機構定額應進用身心障礙者人數","私立機構定額已進用身心障礙者人數","私立機構定額應進用身心障礙者人數","機關定額已進用身心障礙者人數占定額應進用人數比率","公立機構定額已進用身心障礙者人數占定額應進用人數比率","私立機構定額已進用身心障礙者人數占定額應進用人數比率"
2001, 屏東縣,35211.000000,3.870000,378.000000,363.000000,107.352816,103.092784,356.000000,296.000000,307.000000,134.000000,154.186047,120.270270,229.104478
2001, 臺東縣,15755.000000,6.440000,105.000000,44.000000,66.645509,27.927642,198.000000,107.000000,56.000000,25.000000,192.424242,185.046729,224.000000
2001, 花蓮縣,20045.000000,5.680000,457.000000,408.000000,227.987029,203.542030,397.000000,257.000000,158.000000,93.000000,158.571429,154.474708,169.892473
2001, 澎湖縣,4213.000000,4.570000,60.000000,49.000000,142.416330,116.306670,87.000000,53.000000,4.000000,3.000000,162.500000,164.150943,133.333333
2001, 基隆市,11961.000000,3.060000,100.000000,160.000000,83.605050,133.768080,410.000000,305.000000,145.000000,79.000000,144.531250,134.426230,183.544304
2001, 新竹市,11456.000000,3.070000,234.000000,206.000000,204.259777,179.818436,327.000000,310.000000,475.000000,602.000000,87.938596,105.483871,78.903654
2001, 嘉義市,8994.000000,3.360000,110.000000,73.000000,122.303758,81.165221,355.000000,274.000000,131.000000,92.000000,132.786885,129.562044,142.391304
2001, 金門縣,2642.000000,4.640000,-,-,-,-,43.000000,41.000000,-,-,104.878049,104.878049,-
2001, 連江縣,194.000000,2.190000,-,-,-,-,1.000000,3.000000,-,-,33.333333,33.333333,-
2002, 總計,831266.000000,3.690000,16664.000000,12611.000000,200.465314,151.708358,17957.000000,12855.000000,26196.000000,17761.000000,144.215443,139.688837,147.491695
2002, 臺灣地區,827906.000000,3.690000,13002.000000,9607.000000,157.046814,116.039744,17869.000000,12801.000000,26196.000000,17761.000000,144.182318,139.590657,147.491695
2002, 新北市,103309.000000,2.840000,2086.000000,1580.000000,201.918516,152.939241,1578.000000,1241.000000,2628.000000,1654.000000,145.284974,127.155520,158.887545
2002, 臺北市,101228.000000,3.830000,2068.000000,1575.000000,204.291303,155.589363,5649.000000,3734.000000,9850.000000,6889.000000,145.900405,151.285485,142.981565
2002, 桃園市,47348.000000,2.640000,1029.000000,613.000000,217.327025,129.466926,926.000000,861.000000,2308.000000,1851.000000,119.247788,107.549361,124.689357
2002, 臺中市,81018.000000,3.230000,852.000000,715.000000,105.161816,88.251993,1739.000000,1339.000000,1996.000000,1263.000000,143.543428,129.873040,158.036421
2002, 臺南市,69421.000000,3.750000,1720.000000,1214.000000,247.763645,174.875038,1139.000000,816.000000,1776.000000,1006.000000,159.989023,139.583333,176.540755
2002, 高雄市,94131.000000,3.430000,1070.000000,847.000000,113.671373,89.980984,2306.000000,1644.000000,2853.000000,1639.000000,157.142857,140.267640,174.069555
2002, 宜蘭縣,23927.000000,5.160000,385.000000,318.000000,160.906089,132.904250,358.000000,234.000000,165.000000,83.000000,164.984227,152.991453,198.795181
2002, 新竹縣,15412.000000,3.400000,300.000000,280.000000,194.653517,181.676616,160.000000,125.000000,1007.000000,1005.000000,103.274336,128.000000,100.199005
2002, 苗栗縣,22695.000000,4.050000,742.000000,430.000000,326.944261,189.469046,239.000000,193.000000,493.000000,246.000000,166.742597,123.834197,200.406504
2002, 彰化縣,45527.000000,3.460000,673.000000,458.000000,147.824368,100.599644,476.000000,362.000000,919.000000,484.000000,164.893617,131.491713,189.876033
2002, 南投縣,26909.000000,4.970000,274.000000,139.000000,101.824668,51.655580,399.000000,302.000000,229.000000,114.000000,150.961538,132.119205,200.877193
2002, 雲林縣,47307.000000,6.370000,-,-,-,-,370.000000,229.000000,389.000000,264.000000,153.955375,161.572052,147.348485
2002, 嘉義縣,32138.000000,5.710000,100.000000,94.000000,31.115813,29.248864,188.000000,135.000000,252.000000,172.000000,143.322476,139.259259,146.511628
2002, 屏東縣,40323.000000,4.450000,378.000000,289.000000,93.743025,71.671255,400.000000,295.000000,322.000000,139.000000,166.359447,135.593220,231.654676
2002, 臺東縣,16651.000000,6.830000,87.000000,80.000000,52.249114,48.045162,250.000000,120.000000,85.000000,30.000000,223.333333,208.333333,283.333333
2002, 花蓮縣,21388.000000,6.070000,533.000000,432.000000,249.205162,201.982420,443.000000,251.000000,153.000000,89.000000,175.294118,176.494024,171.910112
2002, 澎湖縣,4602.000000,4.980000,60.000000,50.000000,130.378096,108.648414,89.000000,54.000000,4.000000,3.000000,163.157895,164.814815,133.333333
2002, 基隆市,13517.000000,3.450000,170.000000,138.000000,125.767552,102.093660,411.000000,287.000000,163.000000,79.000000,156.830601,143.205575,206.329114
2002, 新竹市,11051.000000,2.920000,334.000000,278.000000,302.235092,251.560945,372.000000,321.000000,487.000000,677.000000,86.072144,115.887850,71.935007
2002, 嘉義市,10004.000000,3.730000,141.000000,77.000000,140.943623,76.969212,377.000000,258.000000,117.000000,74.000000,148.795181,146.124031,158.108108
2002, 金門縣,3141.000000,5.330000,-,-,-,-,86.000000,51.000000,-,-,168.627451,168.627451,-
2002, 連江縣,219.000000,2.500000,-,-,-,-,2.000000,3.000000,-,-,66.666667,66.666667,-
2003, 總計,861030.000000,3.810000,18981.000000,14540.000000,220.445281,168.867519,21003.000000,14047.000000,24857.000000,19003.000000,138.759455,149.519470,130.805662
2003, 臺灣地區,857263.000000,3.800000,14409.000000,10964.000000,168.081441,127.895407,20848.000000,13980.000000,24857.000000,19003.000000,138.571385,149.127325,130.805662
2003, 新北市,97165.000000,2.640000,2261.000000,1592.000000,232.696959,163.845006,1599.000000,1276.000000,2345.000000,1667.000000,134.012912,125.313480,140.671866
2003, 臺北市,107042.000000,4.070000,2103.000000,1743.000000,196.464939,162.833280,5251.000000,3836.000000,8769.000000,7048.000000,128.812936,136.887383,124.418275
2003, 桃園市,51121.000000,2.810000,1088.000000,836.000000,212.828388,163.533577,1218.000000,960.000000,2609.000000,2466.000000,111.704612,126.875000,105.798865
2003, 臺中市,84730.000000,3.350000,1341.000000,941.000000,158.267438,111.058657,1941.000000,1486.000000,1862.000000,1423.000000,130.732210,130.619112,130.850316
2003, 臺南市,67215.000000,3.620000,1791.000000,1338.000000,266.458380,199.062709,1447.000000,892.000000,1695.000000,1118.000000,156.318408,162.219731,151.610018
2003, 高雄市,94962.000000,3.460000,1131.000000,985.000000,119.100272,103.725701,2645.000000,1788.000000,2835.000000,1774.000000,153.846154,147.930649,159.808343
2003, 宜蘭縣,21117.000000,4.560000,402.000000,351.000000,190.367950,166.216792,515.000000,275.000000,166.000000,91.000000,186.065574,187.272727,182.417582
2003, 新竹縣,17573.000000,3.830000,322.000000,310.000000,183.235646,176.406988,228.000000,141.000000,762.000000,834.000000,101.538462,161.702128,91.366906
2003, 苗栗縣,24271.000000,4.330000,793.000000,459.000000,326.727370,189.114581,413.000000,261.000000,454.000000,278.000000,160.853432,158.237548,163.309353
2003, 彰化縣,54216.000000,4.120000,754.000000,492.000000,139.073336,90.748119,761.000000,444.000000,879.000000,516.000000,170.833333,171.396396,170.348837
2003, 南投縣,27672.000000,5.120000,215.000000,132.000000,77.695866,47.701648,604.000000,336.000000,306.000000,141.000000,190.775681,179.761905,217.021277
2003, 雲林縣,53336.000000,7.200000,50.000000,16.000000,9.374531,2.999850,526.000000,281.000000,419.000000,272.000000,170.886076,187.188612,154.044118
2003, 嘉義縣,32642.000000,5.820000,202.000000,180.000000,61.883463,55.143680,473.000000,184.000000,312.000000,186.000000,212.162162,257.065217,167.741935
2003, 屏東縣,40183.000000,4.450000,358.000000,337.000000,89.092402,83.866312,713.000000,388.000000,334.000000,146.000000,196.067416,183.762887,228.767123
