"年度","縣市","老人長期照顧、安養機構數","老人長期照顧、安養機構工作人員數","老人長期照顧、安養機構可供進住人數","老人長期照顧、安養機構實際進住人數","每萬老人長期照顧、安養機構數","老人長期照顧、安養機構每位工作人員服務老人數","老人長期照顧、安養機構可供進住人數占老年人口比率","老人長期照顧、安養機構實際進住人數占老年人口比率","參與長青學苑人次","55歲以上每百人參與長青學苑人次","中低收入老人生活津貼核定人數","中低收入老人生活津貼核發金額","老年農民福利津貼核付人數","老年農民福利津貼核付金額","老年基本保證年金核付人數","老年基本保證年金核付金額","中低收入老人生活津貼與老年農民福利津貼核付人數占老年人口比率","中低收入老人生活津貼與老年農民福利津貼核付金額占總決算歲出比率","中低收入老人生活津貼、老年基本保證年金與老年農民福利津貼核付人數占老年人口比率","中低收入老人生活津貼、老年基本保證年金與老年農民福利津貼核付金額占總決算歲出比率"
2000, 嘉義市,10.000000,112.000000,321.000000,349.000000,4.332756,3.120000,139.080000,151.213172,1905.000000,4.419800,2874.000000,141430640.000000,3325.000000,122223000.000000,-,-,26.858752,2.513032,26.858752,2.513032
2000, 金門縣,1.000000,11.000000,150.000000,55.000000,1.425720,5.000000,213.860000,78.414599,-,-,516.000000,30708000.000000,4242.000000,153690000.000000,-,-,67.835757,2.735453,67.835757,2.735453
2000, 連江縣,1.000000,5.000000,20.000000,10.000000,13.440860,2.000000,268.820000,134.408602,-,-,43.000000,2808000.000000,106.000000,3852000.000000,-,-,20.026882,0.367155,20.026882,0.367155
2001, 總計,658.000000,8075.000000,30236.000000,20599.000000,3.334419,2.550000,153.220000,104.385572,97060.000000,2.745342,181211.000000,9823860567.000000,656460.000000,23244746000.000000,-,-,42.449035,4.688677,42.449035,4.688677
2001, 臺灣地區,632.000000,6438.000000,24686.000000,16825.000000,3.216193,2.610000,125.620000,85.620970,97060.000000,2.755853,180742.000000,9794328567.000000,652042.000000,23085725000.000000,-,-,42.379657,4.724329,42.379657,4.724329
2001, 新北市,100.000000,1067.000000,3805.000000,2708.000000,4.299263,2.540000,163.590000,116.424045,10750.000000,2.387658,10962.000000,588045000.000000,26037.000000,928926000.000000,-,-,15.906844,2.252070,15.906844,2.252070
2001, 臺北市,208.000000,1999.000000,6144.000000,4857.000000,7.943843,2.430000,234.650000,185.496376,7472.000000,1.644113,27444.000000,1832891547.000000,4659.000000,166425000.000000,-,-,12.260634,1.335137,12.260634,1.335137
2001, 桃園市,36.000000,314.000000,1149.000000,686.000000,2.727769,2.180000,87.060000,51.979148,5049.000000,2.203985,10012.000000,556896000.000000,33073.000000,1179057000.000000,-,-,32.646087,5.333401,32.646087,5.333401
2001, 臺中市,33.000000,435.000000,1810.000000,1058.000000,1.886361,2.430000,103.460000,60.477878,11878.000000,3.661896,16689.000000,730956768.000000,49803.000000,1770033000.000000,-,-,38.008460,3.417856,38.008460,3.417856
2001, 臺南市,45.000000,374.000000,1698.000000,1014.000000,2.494153,2.710000,94.110000,56.201572,7630.000000,2.421761,9767.000000,568269000.000000,85918.000000,3058112000.000000,-,-,53.033998,7.957505,53.033998,7.957505
2001, 高雄市,74.000000,787.000000,3469.000000,2483.000000,3.423818,3.160000,160.500000,114.882966,14740.000000,3.607692,30399.000000,1654954308.000000,53133.000000,1872624000.000000,-,-,38.648425,4.034539,38.648425,4.034539
2001, 宜蘭縣,23.000000,250.000000,711.000000,511.000000,4.706075,2.040000,145.480000,104.556708,147.000000,0.169382,1707.000000,108313632.000000,20700.000000,748350000.000000,-,-,45.847400,6.100982,45.847400,6.100982
2001, 新竹縣,3.000000,76.000000,396.000000,174.000000,0.678626,2.290000,89.580000,39.360282,1979.000000,2.625086,426.000000,28950000.000000,22134.000000,668979000.000000,-,-,51.032642,4.955547,51.032642,4.955547
2001, 苗栗縣,6.000000,82.000000,219.000000,170.000000,0.954396,2.070000,34.840000,27.041214,8166.000000,7.530987,6016.000000,310509976.000000,37140.000000,1324107000.000000,-,-,68.646508,9.354192,68.646508,9.354192
2001, 彰化縣,19.000000,144.000000,706.000000,387.000000,1.486628,2.690000,55.240000,30.280269,2388.000000,1.059356,10857.000000,419694000.000000,78280.000000,2784177000.000000,-,-,69.743987,10.461795,69.743987,10.461795
2001, 南投縣,10.000000,153.000000,958.000000,443.000000,1.693451,2.900000,162.230000,75.019898,5635.000000,5.446576,8436.000000,506811000.000000,34613.000000,1235289000.000000,-,-,72.901390,4.450672,72.901390,4.450672
2001, 雲林縣,4.000000,82.000000,274.000000,208.000000,0.448667,2.540000,30.730000,23.330679,1959.000000,1.242811,7914.000000,451353000.000000,63068.000000,2251194000.000000,-,-,79.618184,13.819312,79.618184,13.819312
2001, 嘉義縣,7.000000,53.000000,328.000000,178.000000,0.974659,3.360000,45.670000,24.784183,4427.000000,3.630965,8996.000000,551691000.000000,49257.000000,1749222000.000000,-,-,81.109719,13.731285,81.109719,13.731285
2001, 屏東縣,16.000000,116.000000,717.000000,313.000000,1.717033,2.700000,76.940000,33.589457,3357.000000,2.018398,9433.000000,456144000.000000,53625.000000,1901556000.000000,-,-,67.670416,9.786793,67.670416,9.786793
2001, 臺東縣,5.000000,79.000000,192.000000,119.000000,1.792822,1.510000,68.840000,42.669153,242.000000,0.510188,2772.000000,131976000.000000,13252.000000,476076000.000000,-,-,57.456345,6.239960,57.456345,6.239960
2001, 花蓮縣,9.000000,107.000000,510.000000,279.000000,2.354172,2.610000,133.400000,72.979336,1390.000000,2.114985,5988.000000,247894000.000000,12295.000000,438078000.000000,-,-,47.823699,5.254360,47.823699,5.254360
2001, 澎湖縣,-,-,-,-,-,-,-,-,186.000000,0.904801,1821.000000,114875424.000000,6801.000000,238608000.000000,-,-,65.397451,6.009032,65.397451,6.009032
2001, 基隆市,18.000000,174.000000,1196.000000,824.000000,5.082449,4.740000,337.700000,232.663203,2452.000000,3.947008,6120.000000,283275000.000000,930.000000,32997000.000000,-,-,19.906257,2.142937,19.906257,2.142937
2001, 新竹市,9.000000,56.000000,186.000000,125.000000,2.835271,2.230000,58.600000,39.378761,5004.000000,9.022556,2035.000000,100626000.000000,3925.000000,140736000.000000,-,-,18.775793,1.947881,18.775793,1.947881
2001, 嘉義市,7.000000,90.000000,218.000000,288.000000,2.950350,3.200000,91.880000,121.385821,2209.000000,5.075769,2948.000000,150202912.000000,3399.000000,121179000.000000,-,-,26.751243,3.179286,26.751243,3.179286
2001, 金門縣,1.000000,13.000000,150.000000,56.000000,1.337256,4.310000,200.590000,74.886333,-,-,435.000000,27030000.000000,4312.000000,155199000.000000,-,-,63.479540,2.575968,63.479540,2.575968
2001, 連江縣,1.000000,5.000000,20.000000,9.000000,12.150668,1.800000,243.010000,109.356015,-,-,34.000000,2502000.000000,106.000000,3822000.000000,-,-,17.010936,0.282395,17.010936,0.282395
2002, 總計,781.000000,10380.000000,36469.000000,24738.000000,3.844828,2.380000,179.540000,121.784079,93849.000000,2.601210,182392.000000,9992655349.000000,669779.000000,23761377000.000000,424096.000000,13770978000.000000,41.952001,4.941668,62.830060,6.957771
2002, 臺灣地區,755.000000,8786.000000,30974.000000,20967.000000,3.732897,2.390000,153.140000,103.665754,93849.000000,2.611437,182094.000000,9971547349.000000,665418.000000,23602845000.000000,422471.000000,13717794000.000000,41.902976,4.976415,62.790931,7.009674
2002, 新北市,117.000000,1244.000000,4479.000000,3090.000000,4.908583,2.480000,187.910000,129.636933,13016.000000,2.809062,11702.000000,640935000.000000,26561.000000,949434000.000000,79613.000000,2599323000.000000,16.052744,2.521653,49.453343,6.643081
2002, 臺北市,204.000000,2316.000000,6643.000000,5010.000000,7.531900,2.160000,245.270000,184.974598,6119.000000,1.306941,25202.000000,1619975465.000000,4773.000000,170472000.000000,64238.000000,2083464000.000000,11.067093,1.208232,34.784455,2.614198
2002, 桃園市,45.000000,478.000000,1797.000000,1030.000000,3.341725,2.150000,133.450000,76.488367,4025.000000,1.716268,9850.000000,562443000.000000,33791.000000,1208502000.000000,26822.000000,874518000.000000,32.408047,4.537429,52.326212,6.778076
2002, 臺中市,42.000000,642.000000,2191.000000,1342.000000,2.319673,2.090000,121.010000,74.119077,12815.000000,3.846085,17728.000000,823443000.000000,50973.000000,1818813000.000000,43514.000000,1412526000.000000,37.943776,4.748334,61.976693,7.286749
2002, 臺南市,71.000000,699.000000,2686.000000,1656.000000,3.831666,2.370000,144.960000,89.369556,6295.000000,1.970911,10248.000000,581013000.000000,87565.000000,3123138000.000000,37113.000000,1204206000.000000,52.786862,8.130463,72.815681,10.773647
2002, 高雄市,86.000000,1034.000000,3881.000000,2815.000000,3.853910,2.720000,173.920000,126.148331,15565.000000,3.715520,30267.000000,1684194884.000000,55088.000000,1953396000.000000,53705.000000,1744917000.000000,38.250056,3.789455,62.316827,5.607220
2002, 宜蘭縣,23.000000,259.000000,711.000000,516.000000,4.579940,1.990000,141.580000,102.749955,629.000000,0.720083,1837.000000,118670000.000000,20704.000000,744804000.000000,10045.000000,325977000.000000,44.885402,6.072109,64.887791,8.364439
2002, 新竹縣,9.000000,131.000000,606.000000,282.000000,1.954907,2.150000,131.630000,61.253747,2035.000000,2.646105,429.000000,28143000.000000,22248.000000,666624000.000000,10322.000000,331842000.000000,49.257135,4.431666,71.677744,6.548366
2002, 苗栗縣,7.000000,94.000000,235.000000,198.000000,1.078599,2.110000,36.210000,30.508945,4410.000000,4.027213,6116.000000,313899000.000000,38046.000000,1354707000.000000,7875.000000,257925000.000000,68.047273,9.086064,80.181513,10.490544
2002, 彰化縣,27.000000,316.000000,1070.000000,632.000000,2.044463,2.000000,81.020000,47.855585,3833.000000,1.675680,11263.000000,451584000.000000,79955.000000,2846301000.000000,18755.000000,604485000.000000,69.071056,12.923219,83.272504,15.291978
2002, 南投縣,13.000000,194.000000,1066.000000,524.000000,2.138721,2.700000,175.380000,86.206897,3220.000000,3.079822,8858.000000,547356000.000000,35030.000000,1251429000.000000,6284.000000,202956000.000000,72.203211,7.903961,82.541458,8.795760
