"年度","縣市","違反戶籍法令件數","平均每百萬人違反戶籍法令件數","調解委員會調解成立案件數","調解委員會調解結案件數","調解委員會受理調解案件調解成立比率","平均每一公教人員服務人口數"
2011, 屏東縣,339.000000,390.095038,4005.000000,6048.000000,66.220000,71.031879
2011, 臺東縣,143.000000,623.143914,503.000000,838.000000,60.020000,43.253126
2011, 花蓮縣,168.000000,497.304050,1046.000000,1720.000000,60.810000,55.201245
2011, 澎湖縣,29.000000,298.853536,124.000000,253.000000,49.010000,36.470345
2011, 基隆市,264.000000,691.044301,544.000000,680.000000,80.000000,70.291767
2011, 新竹市,124.000000,296.865199,1133.000000,1368.000000,82.820000,79.299981
2011, 嘉義市,186.000000,683.929136,1388.000000,1782.000000,77.890000,73.944989
2011, 金門縣,102.000000,1013.679707,85.000000,129.000000,65.890000,65.957460
2011, 連江縣,8.000000,798.004988,-,2.000000,-,17.823633
2012, 總計,10983.000000,471.973648,108884.000000,139622.000000,77.980000,74.321431
2012, 臺灣地區,10848.000000,468.572593,108801.000000,139440.000000,78.030000,74.430177
2012, 新北市,2713.000000,690.703734,23275.000000,31335.000000,74.280000,94.411144
2012, 臺北市,1786.000000,670.899670,4832.000000,6780.000000,71.270000,55.413984
2012, 桃園市,1063.000000,525.786541,6771.000000,8961.000000,75.560000,85.881848
2012, 臺中市,1055.000000,394.445091,19557.000000,21954.000000,89.080000,80.516194
2012, 臺南市,446.000000,237.322092,8650.000000,10540.000000,82.070000,84.344659
2012, 高雄市,739.000000,266.156252,8171.000000,12016.000000,68.000000,71.844529
2012, 宜蘭縣,179.000000,390.124404,1129.000000,1560.000000,72.370000,65.842785
2012, 新竹縣,236.000000,453.134210,1000.000000,1529.000000,65.400000,73.770660
2012, 苗栗縣,232.000000,412.083276,1100.000000,1821.000000,60.410000,70.833459
2012, 彰化縣,619.000000,475.622064,13458.000000,14724.000000,91.400000,82.773051
2012, 南投縣,113.000000,216.682023,2104.000000,2893.000000,72.730000,64.197951
2012, 雲林縣,331.000000,464.709132,6226.000000,7968.000000,78.140000,74.542986
2012, 嘉義縣,220.000000,410.576066,3179.000000,4090.000000,77.730000,67.739942
2012, 屏東縣,332.000000,385.381057,4518.000000,6443.000000,70.120000,70.922092
2012, 臺東縣,143.000000,629.204782,554.000000,892.000000,62.110000,43.038235
2012, 花蓮縣,134.000000,398.792907,1112.000000,1720.000000,64.650000,55.075583
2012, 澎湖縣,13.000000,132.653061,110.000000,262.000000,41.980000,37.640137
2012, 基隆市,224.000000,591.747239,543.000000,682.000000,79.620000,71.511756
2012, 新竹市,100.000000,236.651943,1072.000000,1324.000000,80.970000,79.127141
2012, 嘉義市,170.000000,626.444046,1440.000000,1946.000000,74.000000,73.761218
2012, 金門縣,123.000000,1133.671899,79.000000,166.000000,47.590000,72.137117
2012, 連江縣,12.000000,1120.657452,4.000000,16.000000,25.000000,20.124555
2013, 總計,9794.000000,419.539030,108060.000000,138785.000000,77.860000,73.909523
2013, 臺灣地區,9611.000000,413.981380,107964.000000,138592.000000,77.900000,73.995215
2013, 新北市,2246.000000,569.022910,21669.000000,30060.000000,72.090000,89.441607
2013, 臺北市,1584.000000,591.073227,4869.000000,6846.000000,71.120000,56.096469
2013, 桃園市,780.000000,382.898760,7157.000000,9311.000000,76.870000,84.972895
2013, 臺中市,1089.000000,404.340140,19589.000000,21759.000000,90.030000,80.661044
2013, 臺南市,403.000000,214.085384,8317.000000,10195.000000,81.580000,84.691851
2013, 高雄市,704.000000,253.304107,8035.000000,11890.000000,67.580000,71.950435
2013, 宜蘭縣,162.000000,353.306414,1274.000000,1680.000000,75.830000,66.098039
2013, 新竹縣,285.000000,540.551305,1025.000000,1530.000000,66.990000,73.069697
2013, 苗栗縣,166.000000,293.927563,1146.000000,1845.000000,62.110000,70.089726
2013, 彰化縣,542.000000,417.584627,13329.000000,14669.000000,90.870000,82.648619
2013, 南投縣,62.000000,119.527519,2051.000000,2862.000000,71.660000,64.211297
2013, 雲林縣,306.000000,431.355605,6613.000000,8187.000000,80.770000,74.803636
2013, 嘉義縣,171.000000,321.745479,3120.000000,4008.000000,77.840000,67.858572
2013, 屏東縣,286.000000,334.360772,4534.000000,6361.000000,71.280000,71.023833
2013, 臺東縣,121.000000,536.498527,561.000000,859.000000,65.310000,42.579735
2013, 花蓮縣,140.000000,418.480706,1237.000000,1877.000000,65.900000,55.464618
2013, 澎湖縣,14.000000,140.531913,87.000000,227.000000,38.330000,38.541267
2013, 基隆市,314.000000,835.031985,569.000000,711.000000,80.030000,72.349286
2013, 新竹市,99.000000,231.971264,1021.000000,1305.000000,78.240000,77.778726
2013, 嘉義市,137.000000,505.449260,1761.000000,2410.000000,73.070000,73.307713
2013, 金門縣,168.000000,1436.978240,93.000000,184.000000,50.540000,75.304429
2013, 連江縣,15.000000,1277.955272,3.000000,9.000000,33.330000,21.762075
2014, 總計,11182.000000,477.789027,108199.000000,140235.000000,77.160000,74.509006
2014, 臺灣地區,11082.000000,476.295233,108112.000000,140063.000000,77.190000,74.582236
2014, 新北市,2212.000000,558.462672,18571.000000,28026.000000,66.260000,89.722654
2014, 臺北市,1937.000000,718.894320,5146.000000,7116.000000,72.320000,57.640779
2014, 桃園市,821.000000,400.258291,7517.000000,9842.000000,76.380000,84.003102
2014, 臺中市,1237.000000,456.331610,20543.000000,22670.000000,90.620000,81.206073
2014, 臺南市,1140.000000,605.177131,8326.000000,10191.000000,81.700000,84.629868
2014, 高雄市,699.000000,251.490006,8689.000000,12775.000000,68.020000,72.267957
2014, 宜蘭縣,180.000000,392.484788,1228.000000,1638.000000,74.970000,67.756166
2014, 新竹縣,229.000000,428.792378,1017.000000,1463.000000,69.510000,74.002753
2014, 苗栗縣,188.000000,331.954310,1122.000000,1850.000000,60.650000,70.146197
2014, 彰化縣,498.000000,384.929470,13642.000000,15111.000000,90.280000,82.994281
2014, 南投縣,88.000000,170.619183,2126.000000,2955.000000,71.950000,65.037304
2014, 雲林縣,315.000000,445.813177,6822.000000,8371.000000,81.500000,76.188810
2014, 嘉義縣,170.000000,322.576973,3001.000000,3866.000000,77.630000,67.713935
2014, 屏東縣,351.000000,412.891872,4964.000000,6722.000000,73.850000,71.997707
2014, 臺東縣,114.000000,507.466208,554.000000,931.000000,59.510000,42.756190
2014, 花蓮縣,89.000000,266.750988,1308.000000,1945.000000,67.250000,56.708964
2014, 澎湖縣,17.000000,168.185281,99.000000,236.000000,41.950000,39.827006
2014, 基隆市,238.000000,636.371293,593.000000,704.000000,84.230000,72.371872
2014, 新竹市,352.000000,818.156568,990.000000,1215.000000,81.480000,77.113174
2014, 嘉義市,132.000000,487.305147,1854.000000,2436.000000,76.110000,73.310690
2014, 金門縣,136.000000,1094.849378,80.000000,155.000000,51.610000,78.598769
2014, 連江縣,39.000000,3161.606745,7.000000,17.000000,41.180000,22.173759
