"年度","縣市","低收入戶人口數","低收入戶人口數占該縣(市)人口比率","急難救助人次","急難救助金額","接受急難救助平均每一人次金額","急難救助金額占總決算比率","醫療補助人次","醫療補助金額","接受醫療補助平均每一人次金額","醫療補助金額占該縣(市)總決算比率","災害救助受災人數","災害救助金額","災害救助金額占總決算比率"
2003, 屏東縣,11836.000000,1.310000,1422.000000,6599221.000000,4640.802391,0.026801,31.000000,302135.000000,9746.290323,0.001227,198.000000,17550000.000000,0.071276
2003, 臺東縣,10735.000000,4.420000,484.000000,6228582.000000,12868.971074,0.056479,153.000000,2018831.000000,13194.973856,0.018306,5.000000,2935000.000000,0.026614
2003, 花蓮縣,9356.000000,2.660000,252.000000,1051600.000000,4173.015873,0.007813,177.000000,1597179.000000,9023.610169,0.011867,24.000000,4105000.000000,0.030500
2003, 澎湖縣,3397.000000,3.680000,404.000000,1491382.000000,3691.539604,0.022034,30.000000,589503.000000,19650.100000,0.008709,1.000000,295000.000000,0.004358
2003, 基隆市,2246.000000,0.570000,4036.000000,13988260.000000,3465.872151,0.098441,17.000000,340802.000000,20047.176471,0.002398,56.000000,905000.000000,0.006369
2003, 新竹市,1580.000000,0.410000,596.000000,2246962.000000,3770.070470,0.016576,1.000000,87287.000000,87287.000000,0.000644,-,380000.000000,0.002803
2003, 嘉義市,2657.000000,0.990000,324.000000,1613301.000000,4979.324074,0.018984,38.000000,279178.000000,7346.789474,0.003285,1.000000,1035000.000000,0.012179
2003, 金門縣,765.000000,1.250000,74.000000,8406797.000000,113605.364865,0.107216,8.000000,128960.000000,16120.000000,0.001645,-,-,-
2003, 連江縣,61.000000,0.690000,15.000000,320000.000000,21333.333333,0.013748,-,-,-,-,4.000000,710000.000000,0.030503
2004, 總計,204216.000000,0.900000,36134.000000,245920668.000000,6805.796978,0.033611,12146.000000,105216697.000000,8662.662358,0.014381,7982.000000,662711598.000000,0.090577
