"年度","縣市","婦女福利服務中心","接受緊急生活扶助之人次","每萬名接受緊急生活扶助人次","婦女中途之家、庇護中心收容人次","婦女中途之家、庇護中心收容人次占全縣(市)女性人口比率","平均每一鄉鎮市區媽媽教室班數"
2013, 總計,56.000000,15214.000000,6.517119,2982.000000,2.556218,9.328804
2013, 臺灣地區,54.000000,15180.000000,6.538588,2982.000000,2.570117,9.541899
2013, 新北市,12.000000,3168.000000,8.026111,337.000000,1.686026,8.482759
2013, 臺北市,8.000000,2933.000000,10.944557,169.000000,1.213890,1.583333
2013, 桃園市,1.000000,510.000000,2.503569,717.000000,7.075514,15.230769
2013, 臺中市,5.000000,2013.000000,7.474166,194.000000,1.429821,10.689655
2013, 臺南市,1.000000,348.000000,1.848678,151.000000,1.610414,11.567568
2013, 高雄市,4.000000,791.000000,2.846073,392.000000,2.815374,5.947368
2013, 宜蘭縣,2.000000,266.000000,5.801204,60.000000,2.662082,10.250000
2013, 新竹縣,1.000000,372.000000,7.055617,92.000000,3.581536,10.923077
2013, 苗栗縣,1.000000,485.000000,8.587643,113.000000,4.139892,12.944444
2013, 彰化縣,4.000000,1101.000000,8.482669,68.000000,1.073837,10.653846
2013, 南投縣,1.000000,285.000000,5.494410,40.000000,1.585276,12.692308
2013, 雲林縣,1.000000,507.000000,7.146970,177.000000,5.207276,6.000000
2013, 嘉義縣,1.000000,294.000000,5.531764,34.000000,1.335830,12.944444
2013, 屏東縣,6.000000,705.000000,8.242110,99.000000,2.377293,10.242424
2013, 臺東縣,1.000000,253.000000,11.217696,62.000000,5.730606,3.000000
2013, 花蓮縣,1.000000,489.000000,14.616933,72.000000,4.417083,4.846154
2013, 澎湖縣,1.000000,99.000000,9.937614,8.000000,1.654345,10.833333
2013, 基隆市,1.000000,264.000000,7.020651,60.000000,3.213135,9.000000
2013, 新竹市,1.000000,119.000000,2.788341,100.000000,4.644747,27.000000
2013, 嘉義市,1.000000,178.000000,6.567151,37.000000,2.677706,19.000000
2013, 金門縣,1.000000,34.000000,2.908170,-,-,2.500000
2013, 連江縣,1.000000,-,-,-,-,0.500000
2014, 總計,73.000000,17670.000000,7.550109,4256.000000,3.633783,9.480978
2014, 臺灣地區,71.000000,17628.000000,7.576369,4256.000000,3.654738,9.706704
2014, 新北市,11.000000,3438.000000,8.679904,568.000000,2.825907,9.034483
2014, 臺北市,8.000000,2672.000000,9.916808,254.000000,1.812182,1.416667
2014, 桃園市,16.000000,628.000000,3.061659,357.000000,3.494742,25.769231
2014, 臺中市,6.000000,2079.000000,7.669470,330.000000,2.413381,10.724138
2014, 臺南市,1.000000,1128.000000,5.988068,102.000000,1.085760,9.918919
2014, 高雄市,4.000000,724.000000,2.604846,264.000000,1.892489,5.842105
2014, 宜蘭縣,2.000000,132.000000,2.878222,61.000000,2.702589,8.666667
2014, 新竹縣,2.000000,1118.000000,20.934056,79.000000,3.032816,11.615385
2014, 苗栗縣,1.000000,547.000000,9.658458,111.000000,4.047956,12.944444
2014, 彰化縣,4.000000,1431.000000,11.060925,1185.000000,18.761191,10.423077
2014, 南投縣,1.000000,615.000000,11.923954,53.000000,2.110864,12.692308
2014, 雲林縣,1.000000,363.000000,5.137466,254.000000,7.494880,5.950000
2014, 嘉義縣,1.000000,300.000000,5.692535,47.000000,1.861379,12.833333
2014, 屏東縣,6.000000,803.000000,9.445931,126.000000,3.041531,9.939394
2014, 臺東縣,1.000000,261.000000,11.618305,130.000000,12.036368,3.562500
2014, 花蓮縣,1.000000,627.000000,18.792457,61.000000,3.742917,5.384615
2014, 澎湖縣,1.000000,60.000000,5.935951,7.000000,1.427770,10.833333
2014, 基隆市,1.000000,163.000000,4.358341,81.000000,4.357920,9.000000
2014, 新竹市,1.000000,152.000000,3.532949,138.000000,6.352831,22.333333
2014, 嘉義市,2.000000,387.000000,14.286901,48.000000,3.469512,18.500000
2014, 金門縣,1.000000,42.000000,3.381152,-,-,2.000000
2014, 連江縣,1.000000,-,-,-,-,0.500000
