"年度","縣市","垃圾清運量","垃圾焚化量","垃圾衛生掩埋量","廚餘回收量","執行機關資源回收量","巨大垃圾回收再利用量","垃圾清理車數","清運人員數","平均每日垃圾清運量","平均每人每日垃圾清運量","垃圾清運率","垃圾妥善處理率","執行機關資源回收率","自來水水質檢驗件數","自來水水質檢驗不合格數","自來水水質抽驗檢驗不合格率","空氣中總懸浮微粒濃度","平均每月落塵量","空氣中臭氧濃度","二氧化硫含量","PSI>100之日數比率","一般地區環境音量監測不合格時段數","一般地區環境音量監測總時段數","一般地區環境音量監測不合格率","豬隻數量","機車密度","汽車密度","豬隻密度","工廠密度","事業廢水列管家數","事業廢水稽查次數","事業廢水罰鍰次數","事業廢水罰鍰金額","平均每次事業廢水稽查罰款金額","交通工具排放空氣污染物告發件數","交通工具排放空氣污染物檢查件數","交通工具空氣污染檢查告發率","查核列管毒性化學物質運作之家次","取締違反列管毒性化學物質運作之家次","列管毒性化學物質業者之查核取締率","地方環保單位歲出決算數(扣除其他機關補助及配合款)","平均每人環保經費"
1999, 澎湖縣,38924.000000,-,-,-,216.000000,-,-,114.000000,106.641096,1.202267,99.470000,-,-,439.000000,6.000000,1.370000,84.690000,7.960000,-,-,-,8.000000,16.000000,50.000000,15716.000000,397.685397,107.067326,123.880593,0.733068,30.000000,267.000000,7.000000,397.000000,56.714286,34.000000,5706.000000,0.595864,42.000000,-,-,-,-
1999, 基隆市,143670.000000,-,-,-,2610.000000,-,-,506.000000,393.616438,1.026915,100.000000,-,-,253.000000,-,-,89.640000,9.420000,0.028000,0.005000,1.370000,2.000000,12.000000,16.666667,3247.000000,1097.756911,531.256285,24.457871,2.274800,183.000000,367.000000,36.000000,2080.000000,57.777778,317.000000,18564.000000,1.707606,323.000000,-,-,-,-
1999, 新竹市,135738.000000,-,-,-,915.000000,-,-,320.000000,371.884932,1.035603,100.000000,-,-,250.000000,-,-,103.200000,13.460000,0.024000,0.004000,2.210000,15.000000,20.000000,75.000000,11461.000000,1901.948578,949.907970,110.099869,15.668169,207.000000,290.000000,6.000000,390.000000,65.000000,104.000000,14730.000000,0.706042,672.000000,13.000000,1.934524,-,-
1999, 嘉義市,109316.000000,-,-,-,2853.000000,-,-,320.000000,299.495890,1.133166,100.000000,-,-,408.000000,-,-,90.420000,3.890000,0.020000,0.005000,3.560000,8.000000,16.000000,50.000000,3286.000000,2663.846759,1119.172486,54.743310,9.329353,55.000000,381.000000,11.000000,660.000000,60.000000,318.000000,17948.000000,1.771785,257.000000,-,-,-,-
1999, 金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157.504443,73.005959,-,0.150272,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.805556,38.576389,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315.661568,154.733932,-,2.275780,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 臺灣地區,7875511.000000,3229749.000000,3822124.000000,-,477856.000000,-,10862.000000,28666.000000,21517.784153,0.982000,99.030000,90.170000,5.750000,15787.000000,182.000000,1.150000,97.230000,5.260000,0.024000,0.004000,5.060000,187.000000,468.000000,39.957265,7494954.000000,316.490702,155.147508,208.157436,2.286552,14908.000000,28055.000000,3749.000000,247637.000000,66.054148,42395.000000,1554838.000000,2.726651,33870.000000,119.000000,0.351343,-,-
2000, 新北市,1351064.000000,774156.000000,500509.000000,-,47850.620000,-,1651.000000,5254.000000,3691.431694,1.047698,99.814933,94.538695,3.420553,397.000000,-,-,80.990000,4.820000,0.025000,0.004000,4.180000,10.000000,24.000000,41.666667,160969.000000,833.492037,377.990640,78.423274,9.694691,1453.000000,3618.000000,507.000000,30690.000000,60.532544,8211.000000,132633.000000,6.190767,7775.000000,32.000000,0.411576,-,-
2000, 臺北市,974016.000000,561333.000000,412683.000000,-,48991.850000,-,1949.000000,7543.000000,2661.245902,1.006846,99.981296,100.000000,4.789000,444.000000,-,-,84.630000,11.040000,0.020000,0.004000,4.580000,18.000000,32.000000,56.250000,6072.000000,3528.381378,2452.221250,22.339981,7.321568,170.000000,398.000000,59.000000,2940.000000,49.830508,10645.000000,135459.000000,7.858466,1706.000000,12.000000,0.703400,-,-
2000, 桃園市,622294.000000,9682.000000,389777.000000,-,37803.230000,-,557.000000,1529.000000,1700.256831,1.017977,99.285416,66.242094,5.726918,749.000000,-,-,90.550000,5.480000,0.025000,0.005000,1.640000,20.000000,60.000000,33.333333,207785.000000,640.177271,396.478491,170.182497,7.444179,1545.000000,1596.000000,839.000000,51550.000000,61.442193,4376.000000,54047.000000,8.096657,1483.000000,19.000000,1.281187,-,-
2000, 臺中市,663194.000000,390279.000000,272591.000000,-,78613.000000,-,931.000000,2114.000000,1812.005464,0.764600,95.630000,99.960000,10.600000,1596.000000,7.000000,0.440000,105.530000,5.510000,0.021000,0.004000,3.060000,18.000000,36.000000,50.000000,215325.000000,563.816788,324.588486,97.216719,7.241872,1056.000000,1940.000000,266.000000,14598.000000,54.879699,5672.000000,97744.000000,5.802914,3459.000000,15.000000,0.433651,-,-
