"年度","縣市","就業者從業身分結構-自營作業者","就業者從業身分結構-雇主","就業者從業身分結構-受僱者","就業者從業身分結構-無酬家屬工作者"
2007, 屏東縣,21.070000,3.010000,67.110000,8.810000
2007, 臺東縣,18.710000,4.670000,66.340000,10.280000
2007, 花蓮縣,19.600000,4.180000,68.850000,7.370000
2007, 澎湖縣,15.070000,6.480000,72.620000,5.830000
2007, 基隆市,10.480000,4.320000,80.720000,4.480000
2007, 新竹市,10.280000,5.500000,79.090000,5.120000
2007, 嘉義市,13.910000,4.910000,73.690000,7.480000
2007, 金門縣,22.370000,2.110000,70.310000,5.210000
2007, 連江縣,19.700000,3.290000,73.470000,3.550000
2008, 總計,-,-,-,-
2008, 臺灣地區,13.210000,4.880000,75.960000,5.950000
2008, 新北市,9.290000,5.490000,81.570000,3.650000
2008, 臺北市,9.710000,6.000000,81.230000,3.060000
2008, 桃園市,9.890000,4.820000,81.090000,4.190000
2008, 臺中市,12.720000,6.070000,73.070000,8.130000
2008, 臺南市,14.350000,4.260000,74.380000,7.020000
2008, 高雄市,13.380000,5.030000,76.050000,5.540000
2008, 宜蘭縣,16.180000,4.820000,71.630000,7.360000
2008, 新竹縣,11.250000,3.920000,81.390000,3.440000
2008, 苗栗縣,12.790000,3.620000,78.810000,4.770000
2008, 彰化縣,16.720000,4.670000,70.430000,8.190000
2008, 南投縣,20.860000,3.500000,65.560000,10.080000
2008, 雲林縣,23.380000,2.740000,61.970000,11.920000
2008, 嘉義縣,23.690000,2.180000,63.550000,10.580000
2008, 屏東縣,20.460000,3.070000,67.800000,8.670000
2008, 臺東縣,20.510000,3.220000,66.120000,10.150000
2008, 花蓮縣,18.450000,3.630000,71.870000,6.050000
2008, 澎湖縣,13.540000,5.670000,75.510000,5.270000
2008, 基隆市,10.740000,4.070000,80.870000,4.320000
2008, 新竹市,9.650000,5.600000,80.470000,4.280000
2008, 嘉義市,13.020000,4.950000,74.810000,7.220000
2008, 金門縣,21.100000,2.520000,71.910000,4.470000
2008, 連江縣,18.860000,3.330000,74.310000,3.500000
2009, 總計,-,-,-,-
2009, 臺灣地區,12.950000,4.570000,76.760000,5.720000
2009, 新北市,8.940000,4.940000,82.640000,3.470000
2009, 臺北市,8.760000,5.760000,82.780000,2.700000
2009, 桃園市,9.000000,4.510000,82.770000,3.720000
2009, 臺中市,13.460000,5.330000,72.780000,8.430000
2009, 臺南市,14.460000,4.330000,74.570000,6.640000
2009, 高雄市,12.850000,4.970000,76.680000,5.500000
2009, 宜蘭縣,15.610000,4.880000,72.300000,7.210000
2009, 新竹縣,10.540000,3.090000,83.660000,2.710000
2009, 苗栗縣,13.850000,3.220000,77.520000,5.410000
2009, 彰化縣,16.420000,4.950000,71.390000,7.250000
2009, 南投縣,21.590000,2.500000,64.910000,10.990000
2009, 雲林縣,23.020000,2.490000,62.870000,11.610000
2009, 嘉義縣,24.250000,2.590000,62.270000,10.900000
2009, 屏東縣,20.640000,2.380000,69.570000,7.410000
