"年度","縣市","漁戶數","遠洋漁戶數","近海漁戶數","沿岸漁戶數","海面養殖漁戶數","內陸漁撈漁戶數","內陸養殖漁戶數","漁業生產量","遠洋漁業生產量","近海漁業生產量","沿岸漁業生產量","海面養殖漁業生產量","內陸漁撈漁業生產量","內陸養殖漁業生產量","漁戶率","遠洋漁戶數占總漁戶數比率","近海漁戶數占總漁戶數比率","沿岸漁戶數占總漁戶數比率","海面養殖漁戶數占總漁戶數比率","內陸漁撈漁戶數占總漁戶數比率","內陸養殖漁戶數占總漁戶數比率","遠洋漁業生產量占總漁業生產量比率","近海漁業生產量占總漁業生產量比率","沿岸漁業生產量占總漁業生產量比率","海面養殖漁業生產量占總漁業生產量比率","內陸漁撈漁業生產量占總漁業生產量比率","內陸養殖漁業生產量占總漁業生產量比率"
2001, 臺中市,1204.000000,3.000000,267.000000,899.000000,1.000000,-,34.000000,3557.000000,-,2780.000000,302.000000,57.000000,-,417.000000,0.167265,0.249169,22.176080,74.667774,0.083056,-,2.823920,-,78.155749,8.490301,1.602474,-,11.723362
2001, 臺南市,18648.000000,13.000000,1258.000000,5863.000000,789.000000,66.000000,10659.000000,66159.000000,82.000000,3407.000000,2606.000000,7299.000000,-,52765.000000,3.316214,0.069713,6.746032,31.440369,4.231017,0.353925,57.158945,0.123944,5.149715,3.938995,11.032513,-,79.754833
2001, 高雄市,32399.000000,5499.000000,5353.000000,16197.000000,7.000000,20.000000,5323.000000,288927.000000,218502.000000,12616.000000,3634.000000,4.000000,-,54171.000000,3.644629,16.972746,16.522115,49.992284,0.021606,0.061730,16.429519,75.625331,4.366501,1.257757,0.001384,-,18.749027
2001, 宜蘭縣,11376.000000,385.000000,3331.000000,6366.000000,-,182.000000,1112.000000,62650.000000,367.000000,51272.000000,6005.000000,-,15.000000,4991.000000,8.453719,3.384318,29.280942,55.959916,-,1.599859,9.774965,0.585794,81.838787,9.584996,-,0.023943,7.966480
2001, 新竹縣,422.000000,-,16.000000,192.000000,-,-,214.000000,3038.000000,-,16.000000,698.000000,-,-,2323.000000,0.353357,-,3.791469,45.497630,-,-,50.710900,-,0.526662,22.975642,-,-,76.464779
2001, 苗栗縣,2552.000000,-,-,2552.000000,-,-,-,2226.000000,-,6.000000,2087.000000,-,-,133.000000,1.716807,-,-,100.000000,-,-,-,-,0.269542,93.755615,-,-,5.974843
2001, 彰化縣,7161.000000,1.000000,-,3284.000000,1313.000000,-,2563.000000,32635.000000,-,-,706.000000,4384.000000,-,27545.000000,2.214758,0.013965,-,45.859517,18.335428,-,35.791091,-,-,2.163322,13.433430,-,84.403248
2001, 南投縣,253.000000,-,-,-,-,167.000000,86.000000,716.000000,-,-,-,-,120.000000,596.000000,0.165074,-,-,-,-,66.007905,33.992095,-,-,-,-,16.759777,83.240223
2001, 雲林縣,6092.000000,-,299.000000,1358.000000,792.000000,-,3643.000000,59163.000000,-,135.000000,95.000000,1963.000000,-,56970.000000,2.989924,-,4.908076,22.291530,13.000657,-,59.799737,-,0.228183,0.160573,3.317952,-,96.293291
2001, 嘉義縣,6700.000000,-,480.000000,968.000000,1650.000000,98.000000,3504.000000,60594.000000,-,1563.000000,793.000000,7237.000000,380.000000,50622.000000,4.255373,-,7.164179,14.447761,24.626866,1.462687,52.298507,-,2.579463,1.308710,11.943427,0.627125,83.542925
