"年度","縣市","社會福利工作人員數","社會福利工作人員占全縣(市)人口比率","志願服務隊員人數","志工志願服務時數","志工人數占15歲以上人口比率","每位志工一年內提供服務時數"
2003, 新北市,1553.000000,4.224088,4092.000000,359654.000000,0.138426,119.984654
2003, 臺北市,1499.000000,5.705829,4912.000000,389026.000000,0.228541,87.875762
2003, 桃園市,773.000000,4.242416,3288.000000,282279.000000,0.233831,99.692389
2003, 臺中市,1475.000000,5.830586,8033.000000,555963.000000,0.406800,76.352812
2003, 臺南市,600.000000,3.231956,4246.000000,358221.000000,0.281391,93.286719
2003, 高雄市,1040.000000,3.786198,11565.000000,1005277.000000,0.518289,87.305311
2003, 宜蘭縣,484.000000,10.447133,2580.000000,44917.000000,0.694833,17.715244
2003, 新竹縣,766.000000,16.678025,983.000000,106813.000000,0.277539,132.686957
2003, 苗栗縣,344.000000,6.132968,1862.000000,126437.000000,0.415077,68.381287
2003, 彰化縣,948.000000,7.201223,2039.000000,190849.000000,0.194313,95.879930
2003, 南投縣,558.000000,10.325742,3594.000000,108460.000000,0.824726,32.624455
2003, 雲林縣,802.000000,10.830505,1463.000000,278912.000000,0.242511,192.353103
2003, 嘉義縣,470.000000,8.386717,988.000000,199854.000000,0.215307,200.757408
2003, 屏東縣,380.000000,4.204600,1479.000000,229613.000000,0.201775,161.870286
2003, 臺東縣,319.000000,13.136113,817.000000,73737.000000,0.415077,90.921085
2003, 花蓮縣,275.000000,7.831500,2738.000000,186319.000000,0.965284,80.068328
2003, 澎湖縣,173.000000,18.752778,614.000000,88030.000000,0.808097,147.701342
2003, 基隆市,210.000000,5.353838,983.000000,124233.000000,0.309925,129.140333
2003, 新竹市,85.000000,2.219918,1449.000000,126636.000000,0.485867,81.779787
2003, 嘉義市,30.000000,1.112784,694.000000,84823.000000,0.325976,121.697274
2003, 金門縣,65.000000,10.658708,216.000000,18148.000000,0.432035,78.733189
2003, 連江縣,17.000000,19.305019,36.000000,-,0.492207,-
2004, 總計,14231.000000,6.272169,64822.000000,5528318.000000,0.354179,89.532492
2004, 臺灣地區,12785.000000,5.653251,64533.000000,5511031.000000,0.353785,89.645244
2004, 新北市,1623.000000,4.376906,5414.000000,726413.000000,0.180284,152.832527
2004, 臺北市,1521.000000,5.799871,5515.000000,431470.000000,0.255545,82.760142
2004, 桃園市,723.000000,3.901720,4549.000000,309786.000000,0.315984,79.057292
2004, 臺中市,1518.000000,5.956838,8749.000000,708595.000000,0.436673,84.447027
2004, 臺南市,666.000000,3.579508,4176.000000,514797.000000,0.274429,122.250534
2004, 高雄市,1107.000000,4.023111,10849.000000,1123930.000000,0.482565,100.288213
2004, 宜蘭縣,514.000000,11.118658,2178.000000,101529.000000,0.583889,42.677175
2004, 新竹縣,242.000000,5.179285,1116.000000,86308.000000,0.307857,82.237256
2004, 苗栗縣,353.000000,6.296342,2663.000000,121687.000000,0.590298,53.784309
2004, 彰化縣,954.000000,7.245045,2291.000000,169339.000000,0.216999,78.216628
2004, 南投縣,568.000000,10.549522,3886.000000,138210.000000,0.889562,36.954545
2004, 雲林縣,792.000000,10.749594,1514.000000,328889.000000,0.251254,220.953309
2004, 嘉義縣,577.000000,10.342300,1552.000000,96554.000000,0.338064,76.026772
2004, 屏東縣,554.000000,6.154195,2137.000000,146642.000000,0.291088,81.107301
2004, 臺東縣,334.000000,13.895071,849.000000,63463.000000,0.433852,76.186074
2004, 花蓮縣,232.000000,6.644728,3062.000000,193567.000000,1.080314,66.747241
2004, 澎湖縣,182.000000,19.823980,559.000000,49234.000000,0.736214,83.945439
2004, 基隆市,210.000000,5.352541,1225.000000,63084.000000,0.383562,57.141304
2004, 新竹市,85.000000,2.196666,1290.000000,60238.000000,0.426200,43.985396
2004, 嘉義市,31.000000,1.146700,959.000000,77296.000000,0.447460,93.522081
2004, 金門縣,65.000000,10.084399,253.000000,17287.000000,0.473499,73.718550
2004, 連江縣,17.000000,18.164334,36.000000,-,0.458190,-
2005, 總計,13961.000000,6.131210,78528.000000,6731795.000000,0.424216,93.921102
2005, 臺灣地區,12483.000000,5.501597,78058.000000,6700260.000000,0.423230,93.978722
2005, 新北市,1597.000000,4.273851,9761.000000,1061167.000000,0.319730,139.857265
2005, 臺北市,1390.000000,5.312694,7964.000000,536879.000000,0.367243,79.661548
2005, 桃園市,712.000000,3.786598,6394.000000,441807.000000,0.433960,80.746962
2005, 臺中市,1560.000000,6.078980,8166.000000,876302.000000,0.401130,103.612415
2005, 臺南市,731.000000,3.923952,4527.000000,454709.000000,0.294800,104.494772
2005, 高雄市,961.000000,3.490121,11653.000000,1327127.000000,0.514271,117.956359
2005, 宜蘭縣,552.000000,11.958768,3480.000000,177298.000000,0.926569,62.671615
2005, 新竹縣,290.000000,6.071048,1302.000000,82557.000000,0.348236,68.285360
2005, 苗栗縣,348.000000,6.214907,2363.000000,113912.000000,0.520284,45.329089
2005, 彰化縣,819.000000,6.224227,3241.000000,151846.000000,0.304845,54.897325
2005, 南投縣,528.000000,9.829327,3805.000000,210542.000000,0.866549,54.750228
2005, 雲林縣,796.000000,10.854595,3260.000000,288163.000000,0.540395,120.721827
2005, 嘉義縣,513.000000,9.208384,2101.000000,165426.000000,0.455358,90.569943
2005, 屏東縣,525.000000,5.844373,2377.000000,202997.000000,0.322175,89.941072
2005, 臺東縣,337.000000,14.103782,851.000000,84244.000000,0.435147,99.110588
2005, 花蓮縣,304.000000,8.753290,2563.000000,295837.000000,0.902942,105.186489
2005, 澎湖縣,149.000000,16.110024,411.000000,27122.000000,0.533323,55.921649
2005, 基隆市,210.000000,5.360876,1385.000000,81107.000000,0.430397,62.150958
2005, 新竹市,125.000000,3.199451,1311.000000,51115.000000,0.426149,39.304114
2005, 嘉義市,34.000000,1.251376,1143.000000,70103.000000,0.526857,66.701237
2005, 金門縣,77.000000,10.958670,434.000000,31535.000000,0.734535,91.804949
2005, 連江縣,17.000000,16.433059,36.000000,-,0.406550,-
2006, 總計,14608.000000,6.385585,96225.000000,8648918.000000,0.513723,98.984487
2006, 臺灣地區,13064.000000,5.732276,95575.000000,8626268.000000,0.512259,99.362080
2006, 新北市,1687.000000,4.478252,11499.000000,1233569.000000,0.370719,116.046002
2006, 臺北市,1489.000000,5.656775,12943.000000,691284.000000,0.588885,66.129430
2006, 桃園市,736.000000,3.851062,6213.000000,587296.000000,0.411537,93.169826
2006, 臺中市,1503.000000,5.807959,7153.000000,584355.000000,0.345579,76.291533
2006, 臺南市,912.000000,4.885556,6758.000000,855601.000000,0.436168,151.635091
2006, 高雄市,1026.000000,3.717149,14073.000000,1458497.000000,0.615318,113.387001
2006, 宜蘭縣,407.000000,8.839640,3852.000000,269939.000000,1.020646,73.633115
2006, 新竹縣,276.000000,5.659310,1370.000000,96969.000000,0.356269,72.581587
2006, 苗栗縣,376.000000,6.714454,2775.000000,160426.000000,0.606714,62.446866
